AverageTemperature,AverageTemperatureUncertainty,City,Year,Month
24.32,1.413,1,1866,4
26.004,1.387,1,1866,5
26.76,1.363,1,1866,6
27.343,1.227,1,1866,7
27.239,1.282,1,1866,8
27.155,1.098,1,1866,9
26.012,1.04,1,1866,10
26.003,1.264,1,1866,11
26.013,1.296,1,1866,12
25.729,1.539,1,1867,1
24.758,1.344,1,1867,2
25.426,1.807,1,1867,3
24.997,1.293,1,1867,4
26.327,1.291,1,1867,5
27.67,1.132,1,1867,6
27.488,1.193,1,1867,7
27.487,1.273,1,1867,8
27.369,1.106,1,1867,9
26.86,1.222,1,1867,10
26.473,1.714,1,1867,11
27.168,2.142,1,1867,12
25.258,1.399,1,1868,1
23.533,1.745,1,1868,2
24.345,1.437,1,1868,3
24.574,1.377,1,1868,4
25.696,1.302,1,1868,5
27.496,1.192,1,1868,6
27.006,1.125,1,1868,7
27.199,1.241,1,1868,8
26.753,1.172,1,1868,9
26.774,1.301,1,1868,10
25.204,1.312,1,1868,11
24.946,1.435,1,1868,12
25.231,1.989,1,1869,1
25.661,1.938,1,1869,2
24.896,1.416,1,1869,3
25.324,1.639,1,1869,4
26.402,1.246,1,1869,5
27.234,1.453,1,1869,6
27.641,1.321,1,1869,7
27.045,1.373,1,1869,8
27.31,1.371,1,1869,9
26.432,1.497,1,1869,10
27.499,2.225,1,1869,11
24.39,1.598,1,1869,12
24.954,1.996,1,1870,1
23.98,1.881,1,1870,2
24.774,1.675,1,1870,3
24.448,1.423,1,1870,4
26.399,1.524,1,1870,5
27.705,1.452,1,1870,6
27.498,1.264,1,1870,7
27.148,1.251,1,1870,8
27.875,1.983,1,1870,9
26.597,1.38,1,1870,10
26.006,1.636,1,1870,11
23.566,2.004,1,1870,12
24.055,1.724,1,1871,1
24.308,2.661,1,1871,2
24.009,1.768,1,1871,3
24.87,1.579,1,1871,4
25.671,1.563,1,1871,5
26.832,1.302,1,1871,6
27.317,1.337,1,1871,7
27.963,1.132,1,1871,8
27.433,1.611,1,1871,9
26.183,1.14,1,1871,10
26.599,1.648,1,1871,11
25.545,1.784,1,1871,12
23.619,1.983,1,1872,1
24.287,1.563,1,1872,2
24.48,1.408,1,1872,3
24.939,1.576,1,1872,4
26.904,1.44,1,1872,5
27.404,1.51,1,1872,6
27.817,1.296,1,1872,7
27.21,1.373,1,1872,8
27.546,1.225,1,1872,9
26.719,1.093,1,1872,10
25.159,1.586,1,1872,11
24.712,1.601,1,1872,12
23.573,1.627,1,1873,1
25.98,1.857,1,1873,2
24.488,1.505,1,1873,3
23.823,1.708,1,1873,4
26.709,1.194,1,1873,5
26.957,1.433,1,1873,6
27.177,1.121,1,1873,7
26.953,1.189,1,1873,8
26.39,1.235,1,1873,9
26.57,1.239,1,1873,10
25.156,1.257,1,1873,11
26.533,1.287,1,1873,12
24.822,1.641,1,1874,1
25.483,1.705,1,1874,2
24.867,1.61,1,1874,3
23.531,1.321,1,1874,4
25.333,1.454,1,1874,5
26.52,1.63,1,1874,6
26.698,1.278,1,1874,7
27.742,1.102,1,1874,8
26.562,1.119,1,1874,9
26.243,1.73,1,1874,10
26.679,1.449,1,1874,11
26.21,1.41,1,1874,12
23.332,1.76,1,1875,1
23.837,1.485,1,1875,2
24.51,1.491,1,1875,3
23.995,1.311,1,1875,4
25.958,1.172,1,1875,5
27.21,1.326,1,1875,6
27.409,1.215,1,1875,7
27.293,1.084,1,1875,8
